code,target,interest,maturity,payment,status,id,income,age,scaleofcompany,education,marriage,workingtime,estate,houseloan,car,carloan,creditscore,application,pastsuccess,pastdefault,creditcertificate,creditreport,identitycertificate,jobcertificate,incomecertificate,estatecertificate,carcertificate,marriagecertificate,educertificate,techcertificate,mobilecertificate,weibocertificate
1,3000 ,0.10 ,3,1017 ,1,312204,2000-5000,29,10-100,junior college,single,1-3 years,0,0,0,0,89,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0
2,6000 ,0.11 ,6,1032 ,0,745957,2000-5000,30,10-100,undergraduate,single,3-5 years,1,0,0,0,80,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
3,50000 ,0.15 ,24,2420 ,1,745962,5000-10000,27,10-100,highschool,single,below 1 year,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10000 ,0.20 ,24,508 ,1,745972,2000-5000,23,above500,undergraduate,single,1-3 years,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5000 ,0.20 ,9,603 ,1,548855,2000-5000,26,less10,highschool,married,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,50000 ,0.13 ,6,8650 ,1,745965,5000-10000,26,less10,highschool,divorced,1-3 years,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100000 ,0.15 ,24,4840 ,1,701386,--,28,--,highschool,single,--,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,15000 ,0.10 ,3,5085 ,1,745978,2000-5000,23,10-100,highschool,single,3-5 years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20000 ,0.15 ,12,1804 ,1,709452,2000-5000,32,10-100,junior college,married,above 5 years,0,0,0,0,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,100000 ,0.15 ,12,9020 ,1,741477,5000-10000,41,10-100,junior college,married,1-3 years,1,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6000 ,0.11 ,6,1032 ,1,232377,2000-5000,36,10-100,junior college,divorced,3-5 years,1,0,0,0,20,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,400000 ,0.15 ,12,36080 ,1,745983,--,33,--,--,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,35000 ,0.15 ,24,1694 ,1,745976,2000-5000,24,above500,junior college,single,below 1 year,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18000 ,0.24 ,24,950 ,1,388493,5000-10000,29,less10,undergraduate,single,1-3 years,1,0,0,0,27,16,0,0,0,1,1,0,0,1,0,0,1,0,0,0
15,30000 ,0.24 ,24,1584 ,1,504466,5000-10000,30,10-100,junior college,married,above 5 years,1,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,130000 ,0.15 ,24,6292 ,1,537885,5000-10000,31,above500,junior college,married,above 5 years,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,50000 ,0.15 ,24,2420 ,1,745990,--,27,--,--,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,100000 ,0.15 ,24,4840 ,1,745994,above 50000,26,less10,junior college,single,3-5 years,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5000 ,0.15 ,12,451 ,1,735820,2000-5000,33,--,junior college,married,above 5 years,0,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,3500 ,0.15 ,12,316 ,1,746004,--,22,--,--,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,150000 ,0.15 ,12,13530 ,1,744578,10000-20000,24,less10,master,single,3-5 years,1,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3000 ,0.15 ,12,271 ,1,700300,2000-5000,24,100-500,highschool,single,1-3 years,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,30000 ,0.13 ,9,3516 ,1,30379,2000-5000,27,less10,junior college,married,3-5 years,1,1,0,1,124,19,11,3,0,1,1,1,1,1,0,0,1,0,0,0
24,10000 ,0.15 ,12,902 ,1,746018,10000-20000,30,less10,highschool,married,1-3 years,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50000 ,0.15 ,24,2420 ,1,745226,2000-5000,36,above500,highschool,married,above 5 years,1,0,0,0,80,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0
26,60000 ,0.15 ,12,5412 ,1,740138,--,36,--,junior college,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,30000 ,0.15 ,24,1452 ,1,739694,5000-10000,29,100-500,highschool,divorced,3-5 years,1,1,0,0,20,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28,15000 ,0.15 ,6,2610 ,0,739856,above 50000,32,10-100,junior college,married,1-3 years,1,0,0,0,90,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0
