code,interest,target,maturity,status,description,urgent,stable
1,0.1,3000,3,1,二次借款只为累加信用值，本人具有良好的还款意愿和能力。,0,1
2,0.11,6000,6,0,和一个朋友作点小买卖，临时需要用一些钱周转一下，短期周转,0,0
3,0.15,50000,24,1,个人综合消费，买家具，电脑，手机，等，提高个人生活品质,0,0
4,0.2,10000,24,1,本人的电脑于大学期间购买，现已运行缓慢，想更换一台好点的电脑及手机。,0,0
5,0.2,5000,9,1,朋友推荐我来的，我是组装移动电源的、最近1688有一批新款移动电源套料、想进一批包装、自己回来组装、有良好的渠道供货、现在店里的有18650电芯、以及聚合物 做的贴牌oem 每周固定给当地手机、电脑城、以及车站候车室铺货、有固定的客户、会准时的还款。,0,1
6,0.13,50000,6,1,本人经营着一个手机零售店 因积压着还没有卖出去的机子 导致想入一些新款机的资金困难,0,0
7,0.15,100000,24,1,装修老房子 ，急 需要笔装修款...，,1,0
8,0.1,15000,3,1,无需描述，看看这的情况为更大的发展。谢谢,0,0
9,0.15,20000,12,1,家装，，差点钱，，，借款。。。。。。。...,0,0
10,0.15,100000,12,1,最近新买的房子，需要装修，现在手里钱不够用，所以想通过本平台能给我一些帮助！,0,0
11,0.11,6000,6,1,本人有稳定工作，在石化公司任职，月薪3000左右，无不良嗜好，信用良好。现在想自己创业，做点小生意。第一次在本平台借款希望增加信誉，以便以后能长期合作。还款有保证，好借好还再借不难。请大家多多支持。 谢谢！,0,1
12,0.15,400000,12,1,因急用资金进货周转，希望早点下款，谢谢。,1,0
13,0.15,35000,24,1,跟朋友一起做生意，给朋友的店子投资用来开小服装店,0,0
14,0.24,18000,24,1,为结婚的新房装修。资金目前周转需要贷款。本人在医疗机构工作，收入稳定。,0,1
15,0.24,30000,24,1,因家里房屋需要翻新装修 手上资金还差一点 特来人人贷网尝试借款，之前有申请过 因工作繁忙 未及时按电话客服所说明的补齐申请材料而流标，希望大家多多投标，谢谢了。,0,0
16,0.15,130000,24,1,本人急需这比贷款，希望贵公司给于批复。谢谢,1,0
17,0.15,50000,24,1,我想扩大店面和增加卖品，我想让店面更完美,0,0
18,0.15,100000,24,1,我的店是淘宝店和实体店同时运营的，目前店里拥有三个高端品牌在上海的总代理资格，生意逐步在明显进步，所以请求贷款周转.,0,0
19,0.15,5000,12,1,因本人想全职投入淘宝店铺的经营，暂缺乏周转资金。,0,0
20,0.15,3500,12,1,家里需要买些电器，自己的资金不太够，请多多帮忙，有借有还，再借不难。,0,0
21,0.15,150000,12,1,本公司为设立于武汉，注册资本160万元，从08年开始至今稳定经营，年均对公留水超过百万元。 公司主要业务为世界五百强的供应商，现今为了扩大业务，筹集资金。 本公司资金状况良好，与客户结款周期短且稳定。,0,1
22,0.15,3000,12,1,本人现在资金急缺 因多种原因的关系 求帮助 谢谢,1,0
23,0.13,30000,9,1,新公司开业，资金周转。。。。。。。。。。。。。。。。。,0,0
24,0.15,10000,12,1,本人没有社会犯罪记录.银行没有黑户，经营实体店有4年，本次借款纯属为铝合金工程运作和提高信誉度，希望大家支持,0,0
25,0.15,50000,24,1,"本人以前在工商银行房贷10万元,三年之内全部还清,我在铁路上班,工资4500左右,现想在家创业,做点生意.手上缺一部分资金,想从咱们网站借贷一部分.希望能通过审批.",0,0
26,0.15,60000,12,1,生意所需 会及时还款 本人有一年良好二手房房贷还款记录 望通过,0,1
27,0.15,30000,24,1,新房子买了，装修还差点，希望人人贷平台帮忙一下！！！,0,0
28,0.15,15000,6,0,因公司拓展业务，需进一批高档电子产品，急需货款短期周转。,1,0
29,0.15,20000,24,1,本人在国家事业单位工作，每月有固定的收入！,0,0
30,0.2,3000,3,1,你好 我是淘宝买家 现在手头资金不足 需要周转 需要贷款 希望核实 到期一定本金加利息一起还上 我们也是做信誉的 望理财小主们能借款给我 谢谢！,0,0
31,0.15,30000,24,1,我是大同同煤集团财务部的，不安于国有企业的休闲，想创立自己的第二份梦想，本着一颗诚信的心借款，如果你觉得帮一个年轻人实现他的梦值得，希望您可以支持一下我。,0,0
32,0.15,30000,12,1,本人现有稳定工作，想贷款让女朋友做点小生意,0,1
33,0.15,20000,24,1,各位亲，我是 李维宏，我是一个诚信的人， 我了解人人贷的所有规则， 我向大家提交的所有资料都是真实的， 我会对自己的行为负责， 也会按时还款，请相信我并且支持我吧！,0,1
34,0.12,5000,9,1,用于家中装修房屋，等旧房租出后，再归还借款,0,0
35,0.15,8000,6,0,想换车但分期限麻烦，现有吉利自由舰换10万左右的车,0,0
36,0.18,30000,6,1,企业自用，用于拓展企业融资渠道。企业及个人资质良好。,0,1
37,0.12,100000,6,1,由于买的是二手房子，抵押贷款手续办不了，全款资金不够，半年后资金到位。,0,0
38,0.15,30000,12,1,和朋友合伙做生意 需要点资金周转 不想麻烦家里 希望能在网贷平台贷款,0,0
39,0.15,20000,24,1,我想办理出国.俩年但是没有本钱希望审批.,0,0
40,0.15,30000,12,1,准备结婚，家里新房装修，还款准时，讲信誉,0,0
41,0.12,30000,9,1,"本人生产的灯具属于自产自销型,已做3年了,有固定的销售点,收入比较稳定,最近要投资新产品需要借款,请新老投资者投资我,我一定按时归还。",0,1
42,0.15,16000,12,1,本人工薪阶层打算购置家用电器，一次性拿不出这么多钱。,0,0
43,0.15,100000,12,1,由于正是服装销售旺季，先公司急需一笔资金周转，本人信用良好，有偿还能力。,1,1
44,0.12,60000,18,0,深圳市中安信业创业投资有限公司是一家专门为个体工商户、小企业主和低收入家庭提供快速简便、无抵押无担保小额个人贷款服务的企业。公司自2004年开始探索无抵押无担保贷款， 至今累计放款全国最多，小额贷款服务的客户最多。在广东省（深圳市、佛山市），北京市，天津市，上海市，河北省，福建省，山东省，江苏省，湖南省，广西， 四川省，浙江省，河南省，湖北省，安徽省与辽宁省等五十多家便利的网点，逾千名员工专门从事小额贷款业务。中安信业是国内探索无抵押无担保商业化 可持续小额贷款最早的、累计放款量和贷款余额最多的、全国网点最多的、信贷质量最好的、运作最为规范的专业小额贷款机构。,0,0
45,0.11,10000,6,1,用于装修房子和婚礼使用。肯定可以按时还款，请放心,0,1
46,0.15,40000,24,1,本人是一名医务工作者，买了套房子，然后父母用我的部分钱买了一辆挂车，现在装修房屋想请个位帮助下，本人除了医院工作之外还有其它的投资项目，所以本人有能力按时还款。,0,1
47,0.11,10000,6,1,因工作需要，需购买大型触控设备！由于资金不足，特向人人贷提出借款申请，望批准！,0,0
48,0.1,10000,3,0,天猫网店月销售额稳定在15W以上，现在备货需要资金周转，短期使用，及时还款。,0,1
49,0.12,220000,18,0,深圳市证大速贷小额贷款股份有限公司（“证大速贷”）成立于2010年，公司注册资本1亿元人民币，第一大股东证大集团（0755.HK）是以专业金融综合投资及房地产开发经营为主业的大型企业集团，第二大股东长安国际信托股份有限公司主要从事资金信托、融资租赁、投资银行业务等金融业务。证大速贷主要致力于为小微企业，个体工商户和中低收入个人提供快速便捷、免抵押、免担保的小额信贷服务。公司自成立以来发展迅速，先后在深圳、北京、上海、广州等主要一二线城市开设近48家营业网点。此外，证大速贷与中国银行、国家开发银行、江苏银行方资产管理公司等金融机构建立长期战略合作伙伴关系，累计为四万名小微客户提供了微金融服务，资产质量始终位于同行前列。,0,0
50,0.12,100000,18,0,深圳市证大速贷小额贷款股份有限公司（“证大速贷”）成立于2010年，公司注册资本1亿元人民币，第一大股东证大集团（0755.HK）是以专业金融综合投资及房地产开发经营为主业的大型企业集团，第二大股东长安国际信托股份有限公司主要从事资金信托、融资租赁、投资银行业务等金融业务。证大速贷主要致力于为小微企业，个体工商户和中低收入个人提供快速便捷、免抵押、免担保的小额信贷服务。公司自成立以来发展迅速，先后在深圳、北京、上海、广州等主要一二线城市开设近48家营业网点。此外，证大速贷与中国银行、国家开发银行、江苏银行方资产管理公司等金融机构建立长期战略合作伙伴关系，累计为四万名小微客户提供了微金融服务，资产质量始终位于同行前列。,0,0
51,0.11,80000,12,0,深圳市证大速贷小额贷款股份有限公司（“证大速贷”）成立于2010年，公司注册资本1亿元人民币，第一大股东证大集团（0755.HK）是以专业金融综合投资及房地产开发经营为主业的大型企业集团，第二大股东长安国际信托股份有限公司主要从事资金信托、融资租赁、投资银行业务等金融业务。证大速贷主要致力于为小微企业，个体工商户和中低收入个人提供快速便捷、免抵押、免担保的小额信贷服务。公司自成立以来发展迅速，先后在深圳、北京、上海、广州等主要一二线城市开设近48家营业网点。此外，证大速贷与中国银行、国家开发银行、江苏银行方资产管理公司等金融机构建立长期战略合作伙伴关系，累计为四万名小微客户提供了微金融服务，资产质量始终位于同行前列。,0,0
52,0.11,120000,12,0,深圳市证大速贷小额贷款股份有限公司（“证大速贷”）成立于2010年，公司注册资本1亿元人民币，第一大股东证大集团（0755.HK）是以专业金融综合投资及房地产开发经营为主业的大型企业集团，第二大股东长安国际信托股份有限公司主要从事资金信托、融资租赁、投资银行业务等金融业务。证大速贷主要致力于为小微企业，个体工商户和中低收入个人提供快速便捷、免抵押、免担保的小额信贷服务。公司自成立以来发展迅速，先后在深圳、北京、上海、广州等主要一二线城市开设近48家营业网点。此外，证大速贷与中国银行、国家开发银行、江苏银行方资产管理公司等金融机构建立长期战略合作伙伴关系，累计为四万名小微客户提供了微金融服务，资产质量始终位于同行前列。,0,0
53,0.12,120000,18,0,深圳市证大速贷小额贷款股份有限公司（“证大速贷”）成立于2010年，公司注册资本1亿元人民币，第一大股东证大集团（0755.HK）是以专业金融综合投资及房地产开发经营为主业的大型企业集团，第二大股东长安国际信托股份有限公司主要从事资金信托、融资租赁、投资银行业务等金融业务。证大速贷主要致力于为小微企业，个体工商户和中低收入个人提供快速便捷、免抵押、免担保的小额信贷服务。公司自成立以来发展迅速，先后在深圳、北京、上海、广州等主要一二线城市开设近48家营业网点。此外，证大速贷与中国银行、国家开发银行、江苏银行方资产管理公司等金融机构建立长期战略合作伙伴关系，累计为四万名小微客户提供了微金融服务，资产质量始终位于同行前列。,0,0
54,0.11,80000,12,0,深圳市证大速贷小额贷款股份有限公司（“证大速贷”）成立于2010年，公司注册资本1亿元人民币，第一大股东证大集团（0755.HK）是以专业金融综合投资及房地产开发经营为主业的大型企业集团，第二大股东长安国际信托股份有限公司主要从事资金信托、融资租赁、投资银行业务等金融业务。证大速贷主要致力于为小微企业，个体工商户和中低收入个人提供快速便捷、免抵押、免担保的小额信贷服务。公司自成立以来发展迅速，先后在深圳、北京、上海、广州等主要一二线城市开设近48家营业网点。此外，证大速贷与中国银行、国家开发银行、江苏银行方资产管理公司等金融机构建立长期战略合作伙伴关系，累计为四万名小微客户提供了微金融服务，资产质量始终位于同行前列。,0,0
55,0.12,200000,18,0,深圳市证大速贷小额贷款股份有限公司（“证大速贷”）成立于2010年，公司注册资本1亿元人民币，第一大股东证大集团（0755.HK）是以专业金融综合投资及房地产开发经营为主业的大型企业集团，第二大股东长安国际信托股份有限公司主要从事资金信托、融资租赁、投资银行业务等金融业务。证大速贷主要致力于为小微企业，个体工商户和中低收入个人提供快速便捷、免抵押、免担保的小额信贷服务。公司自成立以来发展迅速，先后在深圳、北京、上海、广州等主要一二线城市开设近48家营业网点。此外，证大速贷与中国银行、国家开发银行、江苏银行方资产管理公司等金融机构建立长期战略合作伙伴关系，累计为四万名小微客户提供了微金融服务，资产质量始终位于同行前列。,0,0
56,0.2,5000,6,1,已存了差不多10000，借款5000购买单反，6个月还清。信用第一！,0,0
57,0.18,10000,12,1,为了刷信誉，互相合作，希望大家多多支持，以便于更好的交流,0,0
58,0.15,100000,24,1,本人有固定职业，系国家公务员，有稳定的收入，工作之余在商场有自己固定的女装店铺，因受大环境的影响，市场购买能力减弱，店铺出现了资金周转困难的局面，为确保店铺正常资金流动，就目前店铺存在的资金缺口需申请贷款，以解燃眉之急。,1,1
59,0.15,30000,12,1,用于城市郊区旧村改造，房屋主体已建好，现房屋内装修，资金吃紧，装修好即可用于房屋单间出租或整体出租。,0,0
